ID,GroupID,SI,Amplitude,Center,LW..Hz.
14166,900,21,282843.93,"3.522,  73.16","17.3,   20.0"
14179,3447,21,325988.11,"3.771,  60.31","20.0,   20.0"
14182,441,21,252496.03,"1.188,  23.53","20.0,   20.0"
14185,441,21,361191.14,"1.318,  26.98","20.0,   20.0"
14245,4446,21,157735.44,"4.496,  88.03","7.2,   20.0"
14247,2469,21,450144.88,"4.298, 102.91","20.0,   20.0"
14248,4099,21,312846.28,"1.092,  22.18","20.0,   20.0"
14275,1194,21,308049.17,"1.599,  23.13","20.0,   20.0"
14278,2478,21,296916.1,"2.382,  34.30","20.0,   20.0"
14294,1287,21,367486.8,"1.814,  26.34","20.0,   20.0"
14304,256,21,638023.94,"3.934,  75.29","20.0,   20.0"
14309,441,21,340546.33,"1.251,  24.99","20.0,   20.0"
14328,2559,21,389461.4,"1.794,  29.92","20.0,   20.0"
14329,1451,21,321089.4,"1.501,  32.98","20.0,   20.0"
14335,2010,21,284289.77,"3.887,  57.22","20.0,   20.0"
14354,1144,21,460874.87,"1.974,  38.59","20.0,   20.0"
14357,4358,21,415093.64,"1.749,  38.74","20.0,   20.0"
14382,441,21,353510.35,"1.139,  27.93","20.0,   20.0"
14414,2853,21,398671.71,"1.945,  32.91","20.0,   20.0"
14459,1562,21,351953.86,"2.036,  32.02","20.0,   20.0"
14465,1562,21,395770.45,"1.969,  31.57","20.0,   20.0"
14473,1144,21,300943.43,"2.032,  37.97","20.0,   20.0"
14479,4520,21,200012.53,"1.232,  50.85","12.0,   20.0"
14502,2824,21,317918.52,"0.945,  17.41","20.0,   20.0"
14504,4527,21,156020.56,"3.405,  57.21","8.3,   20.0"
14514,4532,21,347071.65,"1.863,  34.57","20.0,   20.0"
14529,4099,21,323483.73,"0.922,  21.46","20.0,   20.0"
14575,4550,21,406360.1,"1.439,  23.93","20.0,   20.0"
14595,900,21,293762.04,"3.746,  71.59","20.0,   20.0"
14605,4561,21,323435.65,"1.781,  21.47","20.0,   20.0"
14622,4569,21,265162.08,"6.378, 106.58","20.0,   20.0"
14659,4579,21,359666.69,"1.694,  35.76","20.0,   20.0"
14666,2220,21,417484.57,"1.575,  25.37","20.0,   20.0"
14727,2925,21,340961.2,"2.810,  41.24","20.0,   20.0"
14765,4609,21,353884.14,"3.304,  62.55","20.0,   20.0"
14767,4099,21,296023.69,"1.316,  22.38","20.0,   20.0"
14780,2220,21,333032.2,"1.656,  26.04","20.0,   20.0"
14799,4099,21,364604.47,"1.455,  22.00","20.0,   20.0"
14815,441,21,329742.09,"1.115,  27.04","20.0,   20.0"
14849,2630,21,344913.03,"3.394,  66.26","20.0,   20.0"
14889,4099,21,274865.75,"1.245,  21.76","20.0,   20.0"
14890,4643,21,295686.17,"2.904,  27.60","20.0,   20.0"
14905,1287,21,304659.6,"2.195,  26.54","20.0,   20.0"
14933,2824,21,278457.23,"1.229,  15.46","19.9,   20.0"
14936,2630,21,359267.47,"3.414,  62.50","20.0,   20.0"
14937,1294,21,347195.54,"2.388,  51.76","20.0,   20.0"
14972,1451,21,402264.07,"1.431,  33.05","20.0,   20.0"
15005,4687,21,352937.63,"4.194,  73.99","20.0,   20.0"
15020,2824,21,304059,"0.802,  15.23","20.0,   20.0"
15059,4099,21,278774.15,"1.298,  22.16","20.0,   20.0"
15072,4708,21,369190.21,"6.714, 104.83","20.0,   20.0"
15075,2010,21,101838.23,"3.734,  56.90","5.0,    5.0"
15097,1459,21,311799.98,"2.855,  38.97","20.0,   20.0"
15126,1318,21,401892.02,"4.145,  72.41","20.0,   20.0"
15143,2630,21,350793.63,"3.772,  64.56","20.0,   20.0"
15157,441,21,333997.03,"1.218,  23.19","20.0,   20.0"
15185,650,21,379839.69,"3.512,  77.39","20.0,   20.0"
15251,2550,21,356307.55,"1.990,  40.86","20.0,   20.0"
15257,893,21,98745.03,"2.348,  47.57","5.0,    5.0"
15267,4777,21,319964.89,"1.864,  32.28","20.0,   20.0"
15334,4805,21,328430.02,"4.031,  71.59","20.0,   20.0"
15344,1713,21,299504.82,"0.814, 10.838","20.0,   20.0"
15351,441,21,286755.45,"1.203,  31.75","20.0,   20.0"
15398,4822,21,136663.03,"1.978,  21.59","5.0,   20.0"
15518,1570,21,205970.93,"2.301,  49.67","5.0,   20.0"
15523,900,21,469242.95,"3.652,  74.32","20.0,   20.0"
15533,97,21,316471.28,"3.254,  71.85","20.0,   20.0"
15552,900,21,304630.31,"3.560,  74.53","20.0,   20.0"
15561,441,21,350410.25,"1.308,  25.85","20.0,   20.0"
15570,4099,21,293087.44,"1.119,  20.91","20.0,   20.0"
15581,2630,21,409940.51,"3.500,  63.71","20.0,   20.0"
15623,2630,21,356767.92,"3.529,  62.73","20.0,   20.0"
15628,441,21,345155.82,"1.319,  31.81","20.0,   20.0"
15684,2478,21,143094.77,"2.327,  35.18","5.7,   20.0"
15689,1451,21,353367.61,"1.548,  32.29","20.0,   20.0"
